bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Random
10566,Lisey's Story,Stephen King,3.68,743289412,9.78E+12,eng,513,59097,2709,10/24/2006,Scribner,0.0001641699
10332,Mandy,Julie Andrews Edwards/Johanna Westerman,4.24,61131628,9.78E+12,eng,320,9944,846,8/15/2006,HarperCollins,0.0012064803
9516,Persepolis: The Story of a Childhood (Persepolis  #1),Marjane Satrapi/Mattias Ripa,4.25,037571457X,9.78E+12,eng,153,144121,8131,06/01/2004,Pantheon,0.0015050539
8074,The Wind Thief,Judi Barrett/Diane Dawson Hearn,3.8,689305648,9.78E+12,eng,32,4,1,01/01/1977,Atheneum Books,0.0018844816
1888,Pride and Prejudice,Jane Austen,4.26,192802380,9.78E+12,eng,333,2399,253,02/11/2004,Oxford University Press,0.0019153293
7615,Farm Animals (A Chunky Book),Phoebe Dunn,3.86,394862546,9.78E+12,eng,28,35,4,02/12/1984,Random House Books for Young Readers,0.0027275408
4287,Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,5,738511676,9.78E+12,eng,128,2,0,3/17/2003,Arcadia Publishing,0.0027290233
7244,The Poisonwood Bible,Barbara Kingsolver,4.06,60786507,9.78E+12,eng,546,613758,19846,07/05/2005,Harper Perennial Modern Classics,0.0030591088
11313,Silver on the Tree (The Dark is Rising  #5),Susan Cooper,4.15,689840330,9.78E+12,eng,274,27802,507,12/01/2000,Margaret K. McElderry Books,0.0031074239
11728,The Blue Flower,Penelope Fitzgerald,3.47,395859972,9.78E+12,eng,226,3334,514,4/15/1997,Mariner Books,0.0031738622
7983,Salamandastron (Redwall  #5),Brian Jacques/Gary Chalk,4.07,142501522,9.78E+12,en-US,400,26237,240,9/15/2003,Firebird,0.0038762977
4519,A Framework for Understanding Poverty,Ruby K. Payne,3.9,1929229488,9.78E+12,eng,199,3690,518,02/09/2006,AHA! Process,0.0040187039
5348,The Testament,John Grisham/Jorma-Veikko Sappinen,3.86,440234743,9.78E+12,eng,535,89014,2361,12/28/1999,Island,0.0042166487
7480,The Girl at the Lion d'Or,Sebastian Faulks,3.58,375704531,9.78E+12,eng,246,4630,272,12/07/1999,Vintage,0.0042256164
1586,Lysistrata,Aristophanes/Douglass Parker,3.85,451616227,9.78E+12,eng,98,19,2,02/01/1970,Signet,0.0049901486
9337,"How To Meditate: An Anthology Of Talks On Meditation And ""Meditation: The Bridge Is Flowing But The River Is Not""",Frederick P. Lenz,0,1932206108,9.78E+12,eng,228,0,0,01/01/2004,Frederick P. Lenz Foundation for American Buddhism,0.0051096463
10969,Dragonfly in Amber (Outlander  #2),Diana Gabaldon,4.32,385302312,9.78E+12,eng,743,1088,118,07/01/1992,Delacorte Press,0.0051100806
6151,Life of the Beloved: Spiritual Living in a Secular World,Henri J.M. Nouwen,4.28,824519868,9.78E+12,eng,160,7551,498,10/01/2002,Crossroad,0.0053443418
10814,Here Is New York,E.B. White/Roger Angell/Barbara Cohen/Judith Stonehill,4.3,1892145022,9.78E+12,eng,58,5379,544,01/01/2000,Little Bookroom,0.0057319094
11012,Dubliners,James Joyce/Jeri Johnson/ThiÃªn LÆ°Æ¡ng,3.85,192839993,9.78E+12,eng,207,91755,3246,3/15/2001,Oxford University Press,0.0059852545
9629,Zen in the Art of Writing: Essays on Creativity,Ray Bradbury,4.1,1877741094,9.78E+12,en-US,176,909,135,08/01/1993,Joshua Odell Editions,0.0066991261
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9.78E+12,eng,369,345,12,8/28/1990,Ivy Books,0.0067958429
11751,All Aunt Hagar's Children: Stories,Edward P. Jones,3.78,60557567,9.78E+12,en-US,399,1614,212,8/29/2006,Amistad,0.0072126058
10951,The Last Innocent Man,Phillip Margolin,3.91,60739681,9.78E+12,eng,352,1667,57,1/25/2005,HarperTorch,0.0077225817
